record_id,organization_name,title,job_url,source_type,source_provider,rejection_reason
33,Anaplan,"Meet Anaplan Finance AnalystAutomate budget tasks, enhance forecasting accuracy, and enable data-driven decisions with Anaplan's AI agent for financial planning and consolidationLearn more",https://www.anaplan.com/platform/intelligent-role-based-agents/#finance-tab,static_html_listing,,title_is_sentence
33,Anaplan,Explore industry researchExplore analyst insights that shape the future of financial planningLearn more,https://www.anaplan.com/solution/finance-industry-research/,static_html_listing,,title_is_sentence
33,Anaplan,"Meet your Sales AnalystMonitor, analyze, and take action so you can make faster, and more confident decisions with Anaplan’s AI agent for revenue performance managementLearn more",https://www.anaplan.com/platform/intelligent-role-based-agents/#sales-tab,static_html_listing,,title_is_sentence
33,Anaplan,Explore industry researchExplore analyst insights that shape the future of sales and revenue planningLearn more,https://www.anaplan.com/solution/sales-industry-research/,static_html_listing,,title_is_sentence
33,Anaplan,"Meet Anaplan Supply Chain AnalystBe alerted to risks, run impact scenarios, and coordinate new plans with Anaplan’s AI agent for supply chain planningLearn more",https://www.anaplan.com/platform/intelligent-role-based-agents/#supply-chain-tab,static_html_listing,,title_is_sentence
33,Anaplan,Explore industry researchExplore analyst insights that shape the future of supply chain planningLearn more,https://www.anaplan.com/solution/supply-chain-industry-research/,static_html_listing,,title_is_sentence
33,Anaplan,"Meet Anaplan Workforce AnalystIdentify workforce risks, understand the impact of headcount decisions, and get answers in real-time with Anaplan’s AI agent for smarter workforce planningLearn more",https://www.anaplan.com/platform/intelligent-role-based-agents/#workforce-tab,static_html_listing,,title_is_sentence
33,Anaplan,Explore industry researchExplore analyst insights that shape the future of HR and workforce planningLearn more,https://www.anaplan.com/solution/hr-workforce-industry-research/,static_html_listing,,title_is_sentence
33,Anaplan,"Anaplan Connect 2026Transform decision-making in the era of AI. Join us at Anaplan Connect, a global event series for leaders who want to turn “what if” into “already done.”Learn more",https://www.anaplan.com/connect/,static_html_listing,,title_is_sentence
33,Anaplan,Leadership,https://www.anaplan.com/about/leadership/,static_html_listing,,title_is_navigation
